0,1,2,3,4,5,6,7,8,9
예술의전당,1109,319,82,329,298,227,1076,235,251
국립 민속 박물관,640,228,231,244,222,291,364,1118,302
서대문 형무소 역사관,315,300,131,833,378,328,324,292,641
국립현대미술관 서울관,235,221,236,304,240,329,251,264,356
국립 고궁 박물관,244,336,225,243,235,234,222,758,640
러브뮤지엄,290,673,1017,969,405,509,493,839,252
박물관은살아있다 인사동점,223,799,688,219,239,400,483,474,245
대한민국 역사 박물관,640,225,241,222,768,364,368,273,217
문화역서울 284,630,374,364,92,225,264,330,339,307
국립국악원,333,358,309,1103,280,271,336,1084,352
롯데월드 민속박물관,262,253,279,849,336,244,243,228,631
아라리오뮤지엄 인 스페이스,227,264,221,295,240,372,204,236,319
서울 시립 미술관,295,92,379,340,240,298,227,221,235
청와대 사랑채,249,280,281,339,807,293,368,312,219
화폐 금융 박물관,315,131,300,378,324,328,292,293,244
3D블랙아트 박물관,1083,309,385,230,403,219,260,290,223
대림 미술관,235,236,319,871,975,943,221,227,250
세종이야기 • 충무공이야기,231,768,368,640,228,222,330,299,238
풋볼팬타지움,323,352,768,249,238,268,272,241,237
한국 가구 박물관,728,228,234,129,339,865,372,671,356
세종대왕 기념관,222,228,372,315,571,234,758,631,225
국립 한글 박물관,218,798,273,246,361,279,323,373,799
전쟁과 여성 인권 박물관,245,323,799,300,378,292,131,324,328
서대문 자연사 박물관,359,313,60,358,373,309,509,493,839
한양도성박물관,268,330,285,323,760,1063,1054,768,364
우표박물관,237,364,590,370,268,254,253,281,238
디뮤지엄,296,221,379,340,304,240,319,329,264
63 스카이 아트,329,304,227,319,221,235,264,82,224
놀이똥산,950,1055,290,932,182,869,971,509,309
뮤지엄김치간,234,952,279,994,296,262,222,868,90
국립중앙박물관 어린이박물관,358,270,522,873,333,249,253,336,1007
덕수궁 미술관,289,275,227,303,351,161,123,317,288
청계천 박물관,768,681,323,757,739,665,1029,817,759
테지움 서울,367,988,268,640,341,230,799,373,279
절두산 순교 성지,1053,817,662,681,711,1043,676,669,1019
서울상상나라,1116,994,1071,512,871,144,943,975,410
부엉이 박물관,864,239,289,230,87,255,288,799,82
북촌 전망대,751,754,734,173,778,622,658,563,800
국기원,234,279,253,173,1127,622,244,17,746
서울 미술관,347,149,379,327,278,340,344,801,317
아모레퍼시픽미술관,82,235,221,372,379,563,319,332,307
안중근의사 기념관,760,1063,1053,1054,371,686,1062,829,825
허준 박물관,287,279,291,225,1045,315,729,271,641
아름다운 차박물관,358,487,333,1016,743,352,857,1040,238
한성 백제 박물관,248,368,276,1043,798,249,222,323,373
연세대학교 박물관,339,314,298,292,131,378,300,328,817
국립민속박물관 어린이박물관,336,358,254,372,333,244,228,222,204
국립국악박물관,928,954,291,233,630,737,232,302,266
서울 애니메이션 센터,403,352,254,219,223,410,230,242,321
배재학당역사박물관,302,245,316,328,292,300,131,324,378
라뜰리에,14,11,165,24,375,1116,666,71,1070
덕수궁미술관,255,295,347,307,171,351,283,236,87
암사동선사주거지 원시생활전시관,368,382,268,1043,798,373,801,1065,344
윤동주 문학관,300,324,131,292,328,378,1064,630,339
성곡미술관,319,751,263,356,1052,304,149,327,329
서울대학교병원 의학박물관,367,293,234,262,253,755,309,768,245
가회민화박물관,237,312,339,321,812,233,630,281,249
불교중앙박물관,370,590,237,321,311,249,812,280,219
서울시립미술관 남서울분관,347,149,263,327,335,379,320,1115,289
소마미술관,347,379,307,340,123,351,350,92,275
DMC홍보관,1043,768,268,816,496,323,739,368,350
서울 올림픽 기념관,372,751,809,132,248,684,476,381,319
피규어뮤지엄,712,217,345,373,501,509,493,839,341
농업 박물관,266,270,241,225,280,367,343,279,321
서울대학교 미술관,227,799,748,123,161,289,223,255,718
경인 미술관,304,255,263,123,161,288,227,251,474
트릭 월드,558,969,229,673,397,65,140,412,557
석조전 대한제국역사관,788,678,763,769,795,620,662,271,641
육군박물관,378,300,292,324,131,799,303,315,372
기생충박물관,279,368,315,339,238,755,237,373,367
KT스퀘어,370,590,321,311,249,967,281,209,763
금호미술관,236,235,379,340,221,275,240,347,227
일민미술관,329,250,347,304,319,264,235,253,221
손기정 기념관,378,372,373,374,375,376,377,379,370
숙명여자대학교박물관,317,236,347,92,123,224,221,356,149
세계장신구박물관,768,330,198,323,368,328,324,364,292
Mokin Museum,378,300,292,324,131,799,303,315,372
백범김구기념관,1061,1059,293,1064,365,364,315,729,1060
이리자 한복전시관,273,292,378,328,131,324,291,300,225
쎈토이뮤지엄&쇼룸,324,328,378,292,131,300,338,169,178
호림 박물관 신사 분관,329,800,296,356,227,250,251,289,372
갤러리 학고재,139,133,178,169,170,168,813,137,161
지구촌 민속 박물관,228,339,225,640,728,293,1115,361,238
환기 미술관,347,332,264,1099,201,92,351,283,275
뮤지엄 김치간,309,755,279,373,358,1118,311,798,369
꼭두 박물관,373,358,333,377,338,775,209,354,709
한상수자수박물관,310,338,589,354,377,358,352,333,322
독도체험관,370,590,923,281,321,294,308,313,249
한국 자수 박물관,280,339,374,812,237,728,243,356,298
수도국산 달동네박물관,359,509,493,805,839,1071,1017,247,646
동림매듭박물관,547,182,932,869,971,509,839,493,60
서울 세관 박물관,328,292,300,324,131,378,244,339,238
호림아트센터 신사분관,273,379,328,324,131,300,378,292,264
서소문 성지역사박물관,347,298,296,379,149,263,236,304,273
북촌 동양 문화 박물관,800,485,754,987,55,849,479,554,453
간송 미술관,278,751,240,149,329,264,356,235,250
플라토,347,296,149,335,327,379,263,772,282
우정 박물관,590,370,281,280,709,775,589,346,209
Jong Ie Nara Paper Art Museum,365,326,352,358,350,1118,201,292,324
The Korean National Police Heritage Museum,768,330,299,1043,245,840,268,242,246
옹기 민속 박물관,378,300,292,324,131,799,303,315,372
쇳대박물관,1047,1063,1054,760,1060,662,854,1019,657
한원미술관,131,300,201,292,324,328,378,1099,630
김종영미술관,335,149,379,347,263,340,92,278,320
명인박물관,378,300,292,324,131,799,303,315,372
토탈 미술관,304,251,296,78,331,319,250,227,414
시몬느 핸드백 박물관,216,177,768,299,248,323,368,238,328
갤러리현대,78,563,453,176,514,554,583,593,958
아트선재센터,379,307,264,292,131,328,300,378,324
생명과학체험박물관,358,233,309,352,373,336,270,254,353
산악박물관,358,590,370,353,310,309,333,722,403
겸재정선미술관,379,149,347,327,340,92,250,263,320
"떡,부엌살림박물관",228,270,375,234,917,333,442,372,717
BK성형박물관,378,372,373,374,375,376,377,379,370
박을복자수박물관,338,377,309,1099,801,310,344,768,303
리아나 화장박물관,728,812,315,237,280,312,293,243,228
한국미술박물관,379,347,236,295,250,221,240,263,149
은평역사한옥박물관,712,708,217,640,222,286,225,230,231
청하고려 인삼박물관,951,562,588,573,528,607,167,579,882
서울특별시교육청과학전시관,178,589,170,813,169,168,133,23,287
한의약 박물관,344,354,803,804,355,338,927,960,377
국립서울과학관,182,971,797,599,286,712,60,397,932
전태일 기념관,346,1067,321,870,1069,526,138,676,749
호림 박물관 신림 본관,379,263,340,351,317,283,296,149,327
K현대미술관,161,127,373,123,320,329,305,379,718
서울중앙우체국,349,830,183,1123,210,973,55,187,44
The Museum of Photography,324,131,328,292,300,378,630,326,283
경운박물관,347,303,379,307,283,87,275,255,340
한국잡지박물관,358,799,310,353,333,242,272,254,354
분재박물관,310,338,589,354,377,358,352,333,322
울트라건축박물관,338,377,309,1099,801,310,344,768,303
도산 안창호 기념관,927,803,804,606,1042,960,576,786,487
화정박물관,372,204,304,319,235,278,227,221,298
북촌 생활사박물관,817,1062,377,354,338,757,629,739,1031
한국 금융사 박물관,333,309,233,352,373,270,254,310,353
식민지역사박물관,493,839,509,313,869,446,932,193,501
디지털파빌리온,198,216,177,23,219,461,70,86,249
서울 생활사박물관,798,373,378,292,328,324,131,300,1118
한전아트센터,129,1087,1089,278,751,200,800,1109,1103
서울교육박물관,769,763,380,742,724,699,246,217,750
동대문운동장기념관,133,763,178,769,170,813,169,168,249
아르코미술관,813,168,829,133,714,170,169,178,322
House of Go Hui-dong,933,455,791,769,960,492,763,355,1042
경희대학교 자연사박물관,279,309,851,257,354,709,338,775,377
Mongchon Museum of History,768,293,276,268,299,1043,330,798,237
포스코센터,709,209,1097,775,591,567,970,1118,854
윤봉길 의사 기념관,370,321,281,775,589,209,709,311,294
난지미술창작스튜디오,718,161,714,829,123,589,348,322,329
Andong Soju Traditional Food Museum,204,381,131,378,328,324,300,292,453
로봇 박물관,309,217,358,798,361,378,303,300,292
티움,1118,232,312,1115,328,300,303,131,177
브이센터,457,943,975,527,756,747,155,1116,486
티벳박물관,338,377,354,309,344,801,1099,292,201
단국대학교석주선기념박물관,338,377,309,1099,801,310,344,768,303
동대문역사관1398,378,300,292,324,131,799,303,315,372
초전섬유ㆍ퀼트박물관,340,347,221,300,131,292,324,378,328
서울함 공원,699,363,1064,364,305,365,248,246,217
Korean Film Archive,372,566,204,176,378,479,300,453,593
용산공원갤러리,276,798,466,1065,268,245,870,218,226
서울이스케이프룸 홍대2호점,469,111,786,405,1092,384,386,452,545
서울이스케이프룸 - 강남1호점,386,710,990,476,994,111,485,800,469
리얼이스케이프 챌린지,505,405,840,239,58,401,947,392,860
서울이스케이프룸 - 강남2호점,384,868,469,111,571,990,537,387,476
서울 에스케이프 룸 홍대점,443,427,457,747,142,512,480,1116,469
잠실 야구 경기장,942,130,11,660,42,443,29,845,975
서울숲,1002,856,103,1006,1003,1001,711,390,626
올림픽 공원,1026,1003,1006,1033,952,1022,1032,856,389
삼삼오오 한복 북촌한옥마을점,548,947,595,104,480,411,832,1078,397
캣 카페 고양이 놀이터,940,540,417,103,164,430,451,542,555
메가박스 코엑스몰점,29,404,18,43,30,7,624,15,41
런닝맨 인사동점,978,526,1078,403,413,223,383,490,111
블루 스퀘어,420,918,1070,660,1116,952,1109,1046,667
CGV 용산,430,399,417,503,511,429,423,401,37
삼삼오오 한복 경복궁점,844,548,969,558,140,1009,547,290,408
한복남,869,558,932,547,797,538,598,56,844
CGV 왕십리,396,428,190,418,417,430,451,442,90
꽃같은한복,483,58,397,465,160,580,687,688,223
CGV 영등포,503,952,90,417,31,563,28,511,422
명동 실탄 사격장,558,440,578,839,493,509,74,30,644
다이나믹 메이즈,219,272,358,807,309,239,252,254,333
롯데시네마 롯데월드,393,43,29,18,747,30,6,7,430
COLOR POOL MUSEUM,469,151,444,111,452,860,79,752,791
남산서울타워 한복문화체험관,571,868,511,563,831,204,121,958,514
코카,838,837,986,462,896,890,886,848,637
원데이 한복,565,832,117,1011,1121,397,869,558,932
메가박스 강남,427,871,975,943,1116,459,683,421,443
키자니아 서울,565,578,989,89,972,486,154,1011,512
아이엔티스튜디오,998,950,869,932,989,814,421,538,598
명동 고양이다락방,1122,541,427,642,764,765,420,142,437
리얼야구존 홍대점,405,452,79,394,385,111,469,151,444
메가박스 목동,90,503,422,329,437,401,417,441,952
CGV 청담 씨네시티,747,457,996,624,43,486,89,437,126
파라다이스 카지노 워커힐,976,848,502,442,924,835,637,890,462
CGV 목동,952,401,67,90,430,940,429,31,392
CGV 명동역,451,179,429,425,842,430,719,417,542
씨네큐브 광화문,200,425,121,571,958,977,593,583,554
퍼피 스푼,1046,395,764,765,512,11,1116,1122,845
스매싱볼,975,943,527,457,941,443,135,942,989
롯데시네마 김포공항,503,563,441,437,476,116,90,511,449
대한극장,746,419,463,396,67,429,800,994,479
Agarbatti DIY skin care shop,609,184,424,881,611,974,968,145,491
롯데시네마 건대입구,719,418,427,419,428,451,430,179,460
카페개네 명동,800,318,3,987,754,116,392,1109,766
CGV 명동,443,457,666,512,409,142,821,982,74
롯데시네마 월드타워,430,31,37,425,399,67,164,417,28
CGV 여의도,451,417,418,67,430,542,61,544,503
Megabox Coex,404,37,428,396,28,417,67,31,418
CGV 압구정점,800,778,1089,754,987,463,1006,435,1087
브이알존 - 용산 아이파크몰점,79,752,54,1082,469,111,93,443,978
잔쿠라 아트스페이스,972,578,569,486,89,565,154,446,1068
서울 극장,464,488,498,612,748,447,435,37,431
메가박스 아트나인,431,419,849,200,453,498,479,488,176
비트포비아 신논현,576,956,452,955,877,933,405,875,58
롯데시네마 가산디지털,764,136,43,393,503,1116,415,7,212
