0,1,2,3,4,5,6,7,8,9
성대 볼링장,896,609,1058,137,611,603,881,601,145
강북볼링센타,609,184,424,881,611,974,968,145,491
Code Escape Gangnam,981,861,997,791,992,1106,455,492,988
스페셜박스 코인노래연습장,493,839,578,1068,501,971,558,359,932
브이알존 강남점,378,372,373,374,375,376,377,379,370
허리우드극장,510,473,488,497,498,500,506,517,518
CGV 강변,517,497,645,495,830,210,473,829,510
롯데시네마 가양점,517,503,495,473,183,210,830,510,1123
스폰지하우스,488,464,1056,510,495,473,431,518,434
잠실 자동차 극장,378,372,373,374,375,376,377,379,370
메가박스 별내점,495,473,510,94,539,1112,448,419,498
롯데시네마 합정,493,839,509,359,1068,971,969,558,446
강변스파랜드,976,442,597,784,514,977,453,583,593
롯데시네마 홍대입구,563,422,441,116,90,511,401,437,517
길동 볼링장,378,372,373,374,375,376,377,379,370
보스턴볼링장,961,948,762,783,974,97,611,609,516
CGV Gonghang Store,495,473,510,448,463,422,497,498,500
CGV Mia Store,378,372,373,374,375,376,377,379,370
이문체육문화센터,378,372,373,374,375,376,377,379,370
돈암문화스포츠센터,493,839,578,1068,501,971,558,359,932
당진시네마,510,473,488,497,498,500,506,517,518
CGV 하계,503,422,112,103,102,401,31,563,554
브이알존 시네마 가로수길점,443,427,457,420,1116,821,666,421,942
석촌볼링장,480,509,839,493,797,853,1027,843,388
CGV 신도림,479,593,583,977,453,176,554,514,849
인터파크 VR,378,372,373,374,375,376,377,379,370
성신볼링장,790,516,783,762,789,780,577,779,505
메가박스 송파 파크하비오,517,503,495,473,183,210,830,510,1123
롯데시네마 브로드웨이,488,498,473,1056,209,775,709,495,510
윤해영 한복,580,58,397,844,528,145,491,97,562
비트 포비아 홍대,378,372,373,374,375,376,377,379,370
맹쿤 라쿤카페,838,889,1007,856,990,842,930,522,1080
미어캣 프랜즈,994,176,977,583,479,514,453,958,554
아로마 타이 스파 공덕점,536,549,598,548,971,182,969,932,869
실로암 불가마 사우나,621,1116,772,595,624,544,996,939,764
레비쉬 스파,613,598,538,557,869,932,549,564,569
크레이트 웰네스,394,490,956,576,436,1080,532,413,1078
드래곤힐스파,943,975,421,457,375,944,73,459,941
스파 지 명동점,579,951,562,528,167,573,607,582,1066
스파렉스 동대문점,996,1116,824,621,108,975,144,943,4
더 스파 그랜드 하얏트 서울,743,1051,1017,369,575,851,483,1005,610
인사동 한증막,833,613,610,1092,93,527,1044,759,576
씨랄라,526,482,1022,843,342,466,688,385,394
스파 1899 동인비 - 대치점,564,154,89,486,599,538,613,214,205
프로방스 스파 바이 록시땅,839,509,493,598,541,944,446,869,578
미조 에스떼 살롱,582,573,951,579,589,588,167,528,607
신천 마사지/ 아델 힐링타이,523,549,944,467,541,548,598,534,797
2s 압구정,386,121,800,571,462,986,958,583,514
헤라,869,932,569,486,598,953,89,797,971
큐 스파 앤 클리닉,613,599,548,557,971,182,969,989,205
설화수 스파,392,56,594,596,141,562,582,951,579
스파 레이,941,670,1122,412,975,943,4,660,529
스파렉스 불한증막 사우나,451,651,164,418,78,179,331,502,90
워터킹덤 송파파크하비오점,1080,703,521,1073,1036,1120,850,785,192
더 스파 인 가든파이브,656,524,130,843,415,975,943,660,404
설화수 스파,587,993,383,940,595,877,1092,524,941
팬시스튜디오,152,1067,934,492,614,997,791,1106,455
뱀부테라피,558,125,398,56,49,107,397,971,869
네츄럴타이스파 - 압구정점,969,557,182,932,971,869,839,493,509
네츄럴타이스파 - 역삼점,525,523,89,548,538,486,613,536,578
반얀 트리 스파,1116,843,943,144,975,205,772,71,524
황금스파,147,1107,551,759,988,1061,833,1048,566
벨르테라피,608,145,97,609,611,968,491,974,424
스파 디어오가닉,97,145,881,567,970,491,611,184,609
파라곤스파,479,593,583,977,453,176,554,514,849
숲속 한방 랜드,129,431,389,392,626,200,800,784,597
해피데이스파 홍대점,943,975,205,599,1116,524,467,527,74
인스파,969,548,853,509,493,839,539,525,180
굿모닝 약손마사지,509,839,493,158,547,440,140,398,932
디 오리엔탈,378,372,373,374,375,376,377,379,370
준 타이 마사지,378,372,373,374,375,376,377,379,370
삼호 궁전 사우나,378,372,373,374,375,376,377,379,370
인사동 마사지,579,951,562,528,167,573,607,582,1066
우리유황온천,116,90,503,593,176,977,453,479,554
스파더엘,486,89,578,613,989,533,939,972,154
Samsung Leports Center,578,972,89,486,154,509,493,839,564
월드사우나24시찜질방,734,593,958,176,453,977,479,514,554
코로비아,1097,591,970,553,993,369,605,999,753
티파니스킨,346,1067,321,870,1069,526,138,676,749
오휘스파 논현,538,932,869,486,89,797,598,359,578
쑥뜸명가 - 잠실본점,378,372,373,374,375,376,377,379,370
포시즌스 스파,868,121,176,583,593,958,514,554,479
휴고 스파,378,372,373,374,375,376,377,379,370
엘림피부경락,579,951,562,528,167,573,607,582,1066
벤자롱스파 - 창2동점,378,372,373,374,375,376,377,379,370
아이뽀 - 삼성점,775,709,209,483,851,370,807,590,309
국일관,576,955,877,452,436,960,184,974,611
약손119마사지,783,762,790,789,516,825,781,776,767
삼모스포렉스,154,89,565,972,486,509,839,493,564
골든사우나,579,951,562,528,167,573,607,582,1066
바른마사지마마,519,424,968,491,609,184,145,881,611
수정탕,378,372,373,374,375,376,377,379,370
시암타이마사지,579,951,562,528,167,573,607,582,1066
골든크라운크로스핏 - 서대문역,479,593,583,977,453,176,554,514,849
중계스파밸리,1058,584,601,603,160,471,490,923,436
명동 머드 한증막,462,200,986,460,917,179,1023,800,453
콘래드 스파,378,372,373,374,375,376,377,379,370
스파 더 정,946,880,877,545,993,452,1042,588,960
River Sauna,579,951,562,528,167,573,607,582,1066
약손명가 본점,353,967,310,370,590,535,487,489,321
Utopia Spa,370,321,281,775,589,209,709,311,294
타이 팰리스,1097,591,970,553,993,369,605,999,753
잠실수양불한증막,378,372,373,374,375,376,377,379,370
올림피아 사우나,479,593,583,977,453,176,554,514,849
오투 바디앤풋,596,141,579,210,167,562,183,830,582
우 마사지,548,524,564,797,557,599,613,947,391
동대문마사지,596,141,579,210,167,562,183,830,582
봉일스파랜드,597,479,958,453,514,977,554,176,583
얼짱몸짱 이수점,869,932,797,538,182,971,509,493,839
롯데 불한증막 사우나,182,971,117,613,869,932,493,509,839
신촌 불한증막,378,372,373,374,375,376,377,379,370
씨앤미스파밸리,1058,584,601,603,160,471,490,923,436
목동헬스대중사우나,378,372,373,374,375,376,377,379,370
백록담사우나,1058,584,601,603,160,471,490,923,436
관악프라자,604,159,753,163,1123,210,183,137,830
겔랑 스파,502,781,1097,567,970,762,591,783,516
주양보석불가마사우나,927,803,804,606,1042,960,576,786,487
한성보석사우나,579,951,562,528,167,573,607,582,1066
스파 어바인,145,974,968,611,424,184,97,609,825
월드컵 스파랜드 24,609,184,424,881,611,974,968,145,491
마르지아힐링스파 청담점,531,458,536,545,613,553,993,535,608
오투,609,184,424,881,611,974,968,145,491
풍림24시불가마사우나,762,790,783,516,781,789,434,982,935
한강 사우나,564,89,486,599,578,971,182,539,525
동영휘트니스클럽,152,546,879,446,1068,1067,472,828,987
우리건강연구소,378,372,373,374,375,376,377,379,370
창덕궁,725,810,662,620,635,795,728,220,634
봉은사,634,1121,628,117,832,558,509,493,839
조계사,90,658,622,542,417,438,173,952,502
서울 한양 도성,760,1063,1054,691,675,1001,1008,1005,696
창경궁,662,729,291,1053,721,635,1010,654,678
이화여자대학교,624,524,643,41,15,42,393,29,30
명동 성당,173,199,618,438,542,502,90,778,431
홍대앞 거리,990,886,707,891,910,848,900,904,903
명동 쇼핑 거리,30,643,136,393,29,621,996,155,821
서울스카이,89,486,944,996,564,154,180,578,613
청계천,842,462,986,938,1008,1002,1001,856,1033
인사동,915,90,173,707,637,904,895,890,806
삼청동길,644,680,8,30,621,624,42,404,4
N 서울 타워,829,714,1059,1063,1061,760,1054,1053,657
동대문 디자인 플라자,171,378,131,292,300,324,328,221,326
광화문,1127,650,639,228,234,244,121,849,746
덕수궁,832,359,493,291,509,839,240,255,649
북촌 한옥마을,948,1002,899,842,719,173,199,924,698
종묘,617,832,685,649,359,839,833,509,493
남산골 한옥 마을,662,1053,739,657,620,692,676,854,1019
광화문 광장,566,641,662,734,846,909,902,204,571
서울중앙성원,890,90,401,407,915,838,837,627,542
이화 벽화마을,1088,732,655,691,706,173,694,1003,1124
서울 시청,121,102,890,631,868,442,689,627,901
세종대왕 동상,225,721,231,228,768,368,708,1118,341
충무공 이순신 동상,636,291,226,662,241,640,225,231,266
신촌,643,3,136,8,74,29,35,51,667
이대 패션거리,8,136,624,135,457,3,996,30,29
이태원,819,628,680,667,824,30,29,203,42
서울 월드컵 경기장 (상암 월드컵 경기장),503,204,563,90,116,372,422,849,496
선릉과 정릉,696,359,313,685,1114,509,493,839,1053
63시티,952,428,597,204,784,566,554,309,479
경희대학교 서울캠퍼스,1046,1114,8,3,765,764,1012,1116,1122
숭례문,634,193,359,509,839,493,85,653,819
서울로7017,597,784,1051,1119,658,1037,1032,663,703
익선동한옥거리,542,707,702,164,105,451,521,644,331
서울 대학로,667,1116,1109,648,819,395,1086,642,765
동대문 (흥인지문),765,85,679,3,643,8,819,212,46
운현궁,721,291,662,620,220,678,729,788,640
낙산 공공 미술,407,638,691,694,886,668,732,910,597
삼청각,544,772,21,843,467,130,104,59,764
청와대,739,662,629,635,729,798,325,620,640
북악산 서울 성곽,1001,650,1003,618,1046,754,734,778,676
서울 광장,1116,75,144,524,1025,550,73,1,747
동대문 시장 생선구이 골목,42,73,393,29,13,797,4,388,624
고척스카이돔,705,1109,784,597,583,453,514,176,554
경희궁,620,739,657,635,258,636,1059,291,1053
반포대교,784,597,650,1012,1021,842,735,84,865
고려대학교,1116,446,1068,751,679,680,653,1086,765
길상사,746,909,1001,243,204,751,800,958,583
코엑스,427,7,18,393,14,845,29,43,155
홍익대학교,707,652,819,644,642,918,142,1116,200
세빛섬,952,1037,1032,1114,90,773,1003,1007,674
국립 서울 현충원,699,258,675,688,713,279,368,1015,1033
정동전망대,541,941,943,975,4,660,420,1116,797
보신각,919,1127,924,707,243,1024,1012,893,895
백인제가옥,662,755,277,262,768,339,226,237,641
Statue of Gangnam Style,229,290,70,969,558,493,405,509,839
국회 의사당,856,1003,706,648,173,199,924,1026,835
독립문,760,1054,1063,248,619,727,390,906,1031
서울 정릉,1053,1019,658,1020,1043,258,681,635,620
화계사,462,986,835,438,865,179,460,381,407
서울성공회성당,291,805,788,810,716,631,654,662,620
연세대학교 신촌캠퍼스,765,653,824,46,764,1116,784,597,1122
연세로,628,644,819,3,918,8,404,142,660
몽촌토성,1043,258,768,1053,739,276,676,268,696
진관사,648,173,711,674,746,566,751,176,479
이태원 앤틱 가구 거리,50,35,62,155,41,73,975,943,205
동대문성곽공원,751,1024,585,1003,285,1033,1032,1014,1015
원각사지 10층석탑,1020,359,839,509,493,569,730,81,634
덕수궁 돌담길,734,173,319,329,633,227,658,751,571
양화진 외국인 선교사 묘원,874,400,483,458,852,465,478,575,413
KBS 온,478,368,230,483,436,400,1120,268,58
낙산 묘각사,502,976,836,900,886,442,1127,707,866
삼청공원,1036,1040,1054,1063,760,1018,1037,1032,1031
망원 한강공원,1001,994,1022,1037,1008,720,868,809,390
올림픽공원 세계평화의문,1053,760,1054,1063,620,1019,635,662,701
환구단,291,729,823,725,788,662,620,699,553
도선사,994,976,958,593,479,583,977,176,554
혜화문 (홍화문),858,210,830,1123,183,872,398,477,698
서울 석촌동 고분군,646,786,1065,276,1036,1012,1024,823,681
봉원사,457,747,1116,485,751,578,126,821,512
중앙고등학교 (겨울연가 촬영지),179,986,462,571,34,841,460,917,868
구러시아 공사관,380,363,669,829,769,763,714,368,785
북악스카이웨이,784,597,809,778,1008,1051,1037,650,994
문묘,701,802,954,812,872,771,849,928,728
한류스타거리,994,31,651,78,331,442,868,0,1026
마포대교,597,784,809,747,938,1119,1026,650,994
약현성당,292,767,328,780,779,776,300,774,324
잠실종합운동장,674,661,994,751,514,977,479,176,554
경춘선숲길,1033,1003,1006,711,1014,1027,1046,1021,390
해방촌,806,667,848,990,930,164,644,90,866
덕수궁 중명전,777,640,341,704,292,767,768,328,324
경의선책거리,209,709,466,590,807,369,575,370,309
국제선센터,990,848,384,806,452,707,886,903,623
국립 4.19 민주 묘지,1014,706,1033,1006,389,1028,258,1127,1024
화랑대역 - 폐역,286,341,1055,345,359,509,839,768,493
태릉,220,722,669,279,313,805,729,716,1019
숙정문,714,1063,879,1054,1061,365,1065,466,1053
이화벽화마을,331,173,503,734,78,76,1037,566,563
목동종합운동장,805,313,678,775,1062,763,709,739,769
뚝섬 전망문화 콤플렉스 J-Bug,331,78,336,563,849,485,958,593,583
정동교회,127,371,335,223,288,255,632,686,227
종각젊음의거리,899,159,199,924,425,842,84,418,85
창의문 (자하문),121,571,751,583,453,479,958,593,514
북촌 문화 센터,654,640,291,620,729,225,302,662,728
암사동선사주거지,370,590,713,321,358,311,1015,334,249
선유교,761,789,516,783,781,714,829,790,762
평화의소녀상,750,767,776,774,780,779,742,363,823
칠궁,478,616,220,846,580,291,865,729,913
동묘,65,193,558,509,493,839,158,730,11
광진교8번가,1063,760,1054,675,1031,1018,690,248,867
경교장,812,339,1010,243,749,364,218,228,234
우정총국,620,291,1061,725,266,693,662,657,654
헌릉과 인릉,193,213,839,493,509,871,33,534,685
문화비축기지,172,185,197,319,849,174,766,977,514
청담동 패션 거리,563,82,638,157,806,28,116,173,503
북악팔각정,458,876,27,580,729,874,629,693,184
은평 한옥마을,566,479,453,958,176,593,977,583,514
노들섬,784,597,842,1027,809,663,1012,1003,485
평화시장,56,188,47,16,62,33,52,797,193
돈의문 박물관 마을,967,954,271,353,310,489,233,338,354
영화사,378,372,373,374,375,376,377,379,370
망우리공원,805,768,657,662,1043,798,268,635,248
김포공항 전망대,370,590,952,647,790,789,783,781,775
대각사,378,372,373,374,375,376,377,379,370
광희문,724,363,750,606,355,960,763,803,804
봉화산,859,684,389,209,927,606,1042,804,355
그린월,378,372,373,374,375,376,377,379,370
빛타래,378,372,373,374,375,376,377,379,370
대오서점,453,583,554,514,479,593,176,958,977
서촌 세종마을 골목길,126,1116,142,821,996,939,457,764,144
스트리트뮤지엄,979,861,1056,455,997,992,981,1106,791
정동1928 아트센터,1098,728,812,1103,339,280,92,1076,1088
평화의 소녀상,724,767,774,776,779,780,742,704,363
북한산둘레길,514,958,176,583,554,479,453,977,593
오지엔 이 스포츠 스타디움,79,405,151,469,444,111,452,860,913
성우이용원,604,202,159,163,137,591,567,970,210
사모바위,800,987,778,453,479,514,583,593,176
풍납토성,279,308,293,672,237,302,367,311,234
피크닉,457,996,375,443,747,943,975,155,529
육군 사관학교,817,909,636,1062,153,354,551,338,377
만해 한용운 심우장,987,746,176,514,554,583,593,479,453
서울 의릉,153,1107,147,551,40,832,531,988,833
강동구립해공도서관,760,1063,1053,829,1062,714,1047,1040,1049
평화의 소녀상,783,714,829,790,516,789,762,781,770
평화의소녀상,790,516,783,762,789,780,577,779,505
종로 성당,769,780,478,805,767,363,291,779,768
창신동 네팔 음식거리,1116,772,747,765,144,437,1122,136,1046
마장동 먹자골목,126,46,764,144,871,4,11,1116,174
경리단길,766,185,172,479,514,453,593,977,583
평화의소녀상,776,767,779,774,724,750,823,516,769
평화의소녀상,323,1043,299,330,377,763,354,769,338
천주교 순교성지 새남터 기념성당,769,780,478,805,767,363,291,779,768
평화의소녀상,770,820,816,779,774,776,780,767,761
방학천 문화예술거리,701,792,802,1056,92,236,1074,630,14
성내동 쭈꾸미골목,764,1116,108,656,21,747,943,144,975
에버랜드 스피드웨이,952,90,442,917,831,597,784,583,593
평화의소녀상,776,767,779,774,724,750,823,516,769
만화의거리 재미로,209,709,466,590,807,369,575,370,309
평화의소녀상,776,767,779,774,724,750,823,516,769
평화의 소녀상,708,300,378,328,303,292,131,324,750
종로타워,754,800,431,987,1006,784,597,453,514
평화의 소녀상,776,767,779,774,724,750,823,516,769
평화의 소녀상,776,767,779,774,724,750,823,516,769
평화의 소녀상,790,516,783,762,789,780,577,779,505
와룡묘,378,372,373,374,375,376,377,379,370
평화의 소녀상,790,516,783,762,789,780,577,779,505
평화의 소녀상,597,479,958,453,514,977,554,176,583
평화의 소녀상,770,820,816,779,774,776,780,767,761
평화의 소녀상,456,787,927,516,960,781,783,1042,789
평화의 소녀상,957,786,783,960,606,1042,927,516,781
양천향교,291,678,805,810,662,302,654,620,693
평화의 소녀상,790,516,783,762,789,780,577,779,505
평화의 소녀상,790,516,783,762,789,780,577,779,505
수수보리 아카데미,981,861,997,791,992,1106,455,492,988
남인사 마당,701,802,954,812,872,771,849,928,728
역삼동성당,378,372,373,374,375,376,377,379,370
강북문화예술회관,1062,1100,735,1084,1054,810,1105,962,1108
그라운드시소 서촌,291,763,769,616,725,678,788,729,720
하동매실거리,1062,882,143,1057,128,810,805,342,194
신림동 순대타운,932,869,598,538,56,660,4,182,971
전차381호,218,245,630,361,373,131,466,328,324
서울한방진흥센터,324,300,292,328,131,378,352,303,379
연화사,754,987,554,593,958,453,479,514,176
청운문학도서관,344,354,803,804,355,338,927,960,377
일본국제교류기금 서울문화센터,701,802,954,812,872,771,849,928,728
보광사,927,803,804,606,1042,960,576,786,487
영휘원과 숭인원,927,803,804,606,1042,960,576,786,487
삼전도비,678,716,1062,763,769,739,313,906,788
언더스탠드에비뉴,707,990,563,849,994,479,977,958,514
서울특별시 교육연구정보원,851,861,492,209,775,709,1106,979,981
석굴암,378,372,373,374,375,376,377,379,370
강풀만화거리,930,784,597,751,285,893,700,895,994
석호정,1062,616,686,788,678,720,817,760,695
북한산영취사,378,372,373,374,375,376,377,379,370
주한중국문화원,728,339,701,178,170,813,169,168,133
종로홍보관,178,170,169,813,168,324,171,303,300
개포2문화센터,548,472,828,1068,446,411,998,969,182
목은선생영당,378,372,373,374,375,376,377,379,370
장충체육관,820,785,770,714,829,769,763,1064,1127
소악루,757,377,354,338,1062,258,357,636,739
e-스포츠 스타디움,378,372,373,374,375,376,377,379,370
광희동 중앙아시아거리,667,653,644,643,907,680,85,8,404
평화의 소녀상,770,820,816,779,774,776,780,767,761
대림 시장,126,747,457,7,4,982,624,765,144
장충동 족발골목,378,372,373,374,375,376,377,379,370
살곶이다리,776,767,780,774,779,724,750,693,696
몽골타운,871,943,975,529,1116,679,644,144,135
호압사,577,608,552,598,534,307,265,282,681
최규하대통령가옥,1058,584,601,603,160,471,490,923,436
마포주민편익시설,378,372,373,374,375,376,377,379,370
세곡문화센터,446,1068,472,509,839,493,814,971,869
이화장,714,1063,879,1054,1061,365,1065,466,1053
아현동 웨딩드레스거리,183,1123,830,163,216,604,596,177,349
리틀 도쿄,176,958,479,583,593,453,554,514,977
황학정국궁전시관,634,493,839,509,730,408,617,632,391
강남스타일 말춤 무대,153,960,927,803,1042,804,551,147,606
충무로 애완동물 거리,64,119,373,177,216,115,257,23,640
원 데이 코리아 - 당일 투어,905,837,502,976,836,677,842,438,416
DMZ 스파이 투어 - 당일 투어,502,976,566,689,835,653,734,442,622
슈퍼 바이크 투어,905,835,407,886,85,906,891,904,903
타기 트래블 코리아,521,407,856,84,905,890,889,1007,848
아웃도어 코리아,493,839,578,1068,501,971,558,359,932
위 사이클 코리아,947,323,405,505,385,909,886,837,79
위 라이드,868,994,571,698,164,461,865,179,846
서울 라이딩,597,784,451,1002,32,626,462,986,453
이랜드크루즈,21,656,130,550,544,46,975,943,660
안녕한복,397,869,932,56,398,797,598,548,538
버딩 코리아,388,130,666,747,11,420,512,1116,821
Bergen travel,185,172,571,197,868,902,121,766,566
관악산,462,986,1002,460,754,179,809,585,285
코리아 투어 플래너,924,990,707,886,904,890,416,866,710
SA Seoul,583,453,554,977,514,958,176,593,479
도봉산,1060,658,1036,1019,1120,543,1111,192,1092
Canyoning Korea,807,367,575,1120,861,455,492,997,522
더놀자투어 - 서울 당일 투어,865,460,677,835,746,976,462,986,176
윈터프렌드,557,509,493,839,599,525,1068,558,193
안산자락길,1053,369,1047,1019,1060,325,629,635,1013
서울 마리나 클럽 & 요트,392,916,571,597,121,849,784,583,554
월드컵 공원,389,838,986,751,192,462,521,1021,390
코리아 스크터 투어 by SYM 강남,1066,122,452,54,877,1092,138,862,421
한복소녀,872,695,830,183,210,1123,481,659,75
불암산,743,103,1018,110,389,804,826,1058,584
그날그한복 북촌점,405,469,444,111,151,440,863,79,752
Korea by local(코리아바이로컬),981,861,997,791,992,1106,455,492,988
플라이투더스카이,1066,122,857,863,880,535,933,487,946
절권도 트레이닝 스튜디오,405,152,546,452,860,1067,469,151,111
이화교복,183,830,1056,1123,210,260,667,114,171
팀맥스어드벤처,462,986,746,977,593,554,514,479,478
Budapest Cafe,999,930,18,502,707,1007,889,848,22
용마산,466,775,829,714,209,709,798,1110,192
코오롱스포렉스,571,994,841,121,554,583,593,479,977
창동문화체육센터,932,598,538,797,971,182,493,509,839
서울세그웨이,1067,933,382,384,791,568,927,492,979
더 케이 익스트림 홀리데이즈,943,975,144,1116,193,126,62,135,765
도령아씨 한복대여전문점,858,928,695,802,210,792,701,1123,830
주렁주렁 - 타임스퀘어점,522,1126,254,200,994,485,554,514,593
골든블루마리나 - 서초지점,458,483,687,584,603,184,968,826,974
hanbokdan,800,563,441,503,987,90,754,116,67
더 텐트,107,120,491,528,97,562,573,579,588
고운솔한복대여 북촌점,452,946,576,956,880,955,587,459,436
한강시민공원 광나루수영장,831,124,987,176,554,514,479,453,583
나들길,614,829,714,1029,365,1065,152,1063,1061
Happy Day Gym,880,587,877,452,167,573,606,528,607
탐라랜드,609,184,424,881,611,974,968,145,491
엔비다이버스,196,207,194,796,342,68,831,139,119
오미 요리연구소,884,897,891,889,887,904,892,908,934
쿡코리언,883,891,887,889,897,904,908,892,903
Hello K Cooking Class,903,892,908,887,888,914,891,893,900
젠김치 코리안 푸드 투어,990,900,623,848,896,837,890,746,924
케이 쿠킹클래스,884,908,891,883,889,904,892,893,888
자넷 쿠킹스튜디오 & 서울 푸드 투어,892,904,895,893,908,887,707,883,903
푸드 앤 컬쳐 아카데미,884,904,883,897,990,887,891,930,916
더 리얼 서울,848,886,637,896,924,904,401,627,915
정이의 쿠킹 클라스,883,884,887,904,892,889,908,897,11
온고 푸드 커뮤니케이션즈,908,888,885,887,891,883,900,904,889
서울헌터즈,912,906,895,930,887,891,888,766,174
itseoulgood,912,174,766,4,893,891,12,952,764
서울 푸드 투어 - 당일 투어,904,893,930,901,888,865,809,707,924
딜렉터블 트래블스,899,886,890,438,924,407,837,915,529
아이러브한식,883,884,889,904,891,887,934,892,908
Withlocals.com Private Tours in Seoul,900,912,746,887,920,893,819,197,896
투데이즈 프렌드,719,924,896,633,900,901,842,919,84
Korean Tour Guide,886,912,892,898,746,623,908,891,906
가스트로 투어 서울,895,865,924,905,886,837,912,920,904
마이 서울 트립,746,566,653,846,719,116,734,173,199
유진의 키친,990,885,891,904,887,889,884,908,886
사계절 쿠킹 클래스,891,889,895,884,883,888,887,916,897
더 술 컴파니 - 한국 술 투어,835,837,866,886,889,901,848,838,930
씨크릿 푸드 투어 서울,893,912,174,766,837,900,891,888,895
익사이팅 코리아 - 프라이빗 당일 투어,644,819,1116,824,667,1077,529,144,943
소반 코리안 쿠킹클래스,892,887,891,910,904,889,888,903,884
서울 어반 애드벤처즈,746,846,665,636,902,837,204,185,174
한국의 집,908,1087,890,887,895,904,1088,892,623
Sunny's Dining,152,546,933,934,887,892,904,885,903
Jay Choi,893,900,920,898,894,891,906,766,174
전통주갤러리,478,405,32,407,79,752,725,840,688
서울 김치 체험관,930,173,809,897,885,921,674,994,566
더 소울 오브 서울 투어,627,896,637,837,892,890,900,908,644
맷오흐께,904,908,889,986,462,940,897,895,884
베톤부르트 : 콘크리트바,442,462,986,958,479,514,554,176,583
광장 시장 푸드 투어,42,85,13,21,108,144,660,821,653
바인웍스,924,671,865,935,707,916,899,848,904
DELISH KOREA,912,886,889,895,898,901,990,865,924
한국사찰음식문화체험관,914,485,849,453,554,583,977,514,958
Traveling Spoon,842,930,521,835,920,889,884,1021,856
플레이플래닛,311,582,792,826,308,607,603,601,584
여행친구유유,848,919,899,84,719,865,707,904,901
K팬 투어,789,455,992,981,979,861,791,790,783
배추투어,842,451,179,865,902,841,563,571,462
스피크이지,927,803,804,606,1042,960,576,786,487
서울 전통 문화 체험관,872,271,802,792,589,701,855,1113,281
더 모먼트,378,372,373,374,375,376,377,379,370
foodieon,809,707,866,895,889,893,784,994,597
위드램,378,372,373,374,375,376,377,379,370
와이낫,932,598,538,797,971,182,493,509,839
SG Entertainment,366,997,803,455,804,1106,979,981,861
한솔요리학원 - 종로3가점,546,152,883,889,884,897,1067,892,908
서울 펍 크롤,919,857,937,890,904,848,936,895,707
앱솔루트 서울 펍 크롤,182,971,950,411,989,998,599,548,613
GSM테라스,989,642,828,411,420,445,96,947,1068
우드스탁,462,986,420,626,542,703,502,460,987
올댓재즈,747,126,457,18,564,821,941,29,393
믹스 & 몰트,392,952,417,916,941,90,917,585,773
르챔버,541,747,393,29,421,135,142,126,467
오케이 퐁퐁,388,104,421,443,975,943,11,996,108
골목바이닐앤펍,975,457,871,1116,421,135,527,181,375
번,613,625,445,89,486,578,527,996,142
소프 서울,955,405,452,456,469,444,151,957,111
레솔베르 시가샵 & 시가라운지,880,587,877,452,167,573,606,528,607
마익스 케빈,797,932,869,840,996,104,411,391,998
클라시코,505,961,633,580,481,899,789,790,881
더연카페 & 바,378,372,373,374,375,376,377,379,370
엔비투,411,998,869,932,989,936,421,598,538
클럽 베라,579,951,562,528,167,573,607,582,1066
로드,417,90,773,401,597,784,554,479,583
bar Cham,538,578,509,493,839,972,154,565,486
파우스트 탄즈바,1100,802,701,792,737,271,1076,1069,186
옐로우자켓 뮤직바,956,576,877,957,945,1102,1108,452,436
더블에잇,576,955,877,452,436,960,184,974,611
레인보우,787,955,962,786,1102,781,804,355,960
커피 방앗간,479,593,583,977,453,176,554,514,849
클럽 보니따 서울,378,372,373,374,375,376,377,379,370
오아시스,927,803,804,606,1042,960,576,786,487
부기우기,505,948,1108,962,1089,762,611,145,491
마미블루,783,789,790,762,1100,516,781,961,957
De La Mano,378,372,373,374,375,376,377,379,370
클럽 에프에프,951,588,528,167,579,582,607,562,573
마콘도,378,372,373,374,375,376,377,379,370
메이드인퐁당,378,372,373,374,375,376,377,379,370
제이앤제이슨,1100,589,737,1069,294,370,1108,353,1102
클럽 플렉스,609,184,424,881,611,974,968,145,491
락휴코인노래연습장 건대점,548,557,493,509,839,180,65,140,539
보바베어,1097,591,970,553,993,369,605,999,753
더 소울 바이 제스,971,599,869,932,509,493,839,486,89
After Dark,578,486,565,154,89,509,493,839,564
박스스튜디오,134,349,198,151,187,197,299,164,66
와이낫,609,184,424,881,611,974,968,145,491
헐리우드 그릴,975,457,871,1116,421,135,527,181,375
클럽 앤써,442,502,593,453,479,514,977,554,583
Bar 31B,479,593,583,977,453,176,554,514,849
마익스케빈신촌,492,979,455,1106,861,997,992,791,981
클럽 디스타,981,861,997,791,992,1106,455,492,988
몽키비치 서울,378,372,373,374,375,376,377,379,370
Minglecup,981,861,997,791,992,1106,455,492,988
더 방갈로,821,747,457,142,1122,126,415,443,427
라 끌레,378,372,373,374,375,376,377,379,370
찰스 에이치.,378,372,373,374,375,376,377,379,370
재즈잇업,548,573,881,184,582,611,528,145,609
바 마리오,986,179,460,176,453,479,514,554,593
카페 유후인,800,754,124,977,554,176,514,593,583
Show Am 7,1106,791,981,979,997,492,455,1107,992
클럽 옥타곤,613,411,564,89,486,578,998,539,950
역삼(이층)맥주창고,903,623,710,848,886,889,806,707,904
뱀파이어 홍대,378,372,373,374,375,376,377,379,370
클럽 엠투,981,861,997,791,992,1106,455,492,988
My Boss is Watching,607,579,1097,591,588,167,970,582,528
팁시래빗츠,868,479,453,176,554,514,977,583,593
